,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
69,2020-02-21,21900828,Final,1610612752,1610612754,2019,1610612752,98.0,0.43200000000000005,0.68,0.44,21.0,40.0,1610612754,106.0,0.409,0.7879999999999999,0.28600000000000003,20.0,50.0,0
70,2020-02-21,21900829,Final,1610612761,1610612756,2019,1610612761,118.0,0.525,0.909,0.37799999999999995,24.0,48.0,1610612756,101.0,0.413,0.826,0.17600000000000002,29.0,34.0,1
71,2020-02-21,21900830,Final,1610612750,1610612738,2019,1610612750,117.0,0.40399999999999997,0.857,0.35700000000000004,23.0,43.0,1610612738,127.0,0.46299999999999997,0.784,0.345,21.0,58.0,0
72,2020-02-21,21900831,Final,1610612760,1610612743,2019,1610612760,113.0,0.46,0.889,0.34600000000000003,19.0,44.0,1610612743,101.0,0.48100000000000004,0.9129999999999999,0.222,19.0,39.0,1
73,2020-02-21,21900832,Final,1610612762,1610612759,2019,1610612762,104.0,0.42700000000000005,0.846,0.364,25.0,47.0,1610612759,113.0,0.44,0.885,0.5,22.0,48.0,0
74,2020-02-21,21900833,Final,1610612747,1610612763,2019,1610612747,117.0,0.47700000000000004,0.65,0.31,25.0,49.0,1610612763,105.0,0.457,0.516,0.33299999999999996,22.0,50.0,1
75,2020-02-21,21900834,Final,1610612757,1610612740,2019,1610612757,115.0,0.457,0.76,0.37,20.0,46.0,1610612740,128.0,0.536,0.606,0.529,36.0,46.0,0
76,2020-02-20,21900820,Final,1610612765,1610612749,2019,1610612765,106.0,0.48200000000000004,0.813,0.35100000000000003,25.0,46.0,1610612749,126.0,0.505,0.815,0.303,24.0,41.0,0
77,2020-02-20,21900821,Final,1610612737,1610612748,2019,1610612737,129.0,0.48200000000000004,0.8859999999999999,0.457,22.0,41.0,1610612748,124.0,0.408,0.868,0.297,28.0,51.0,1
78,2020-02-20,21900822,Final,1610612755,1610612751,2019,1610612755,112.0,0.442,0.914,0.182,19.0,48.0,1610612751,104.0,0.353,0.7859999999999999,0.294,22.0,49.0,1
79,2020-02-20,21900823,Final,1610612741,1610612766,2019,1610612741,93.0,0.425,0.632,0.226,24.0,38.0,1610612766,103.0,0.473,0.862,0.28600000000000003,22.0,44.0,0
80,2020-02-20,21900824,Final,1610612758,1610612763,2019,1610612758,129.0,0.506,0.722,0.48700000000000004,22.0,27.0,1610612763,125.0,0.506,0.8440000000000001,0.4,25.0,51.0,1
81,2020-02-20,21900825,Final,1610612744,1610612745,2019,1610612744,105.0,0.494,0.833,0.212,26.0,40.0,1610612745,135.0,0.529,0.909,0.51,31.0,36.0,0
82,2020-02-13,21900818,Final,1610612738,1610612746,2019,1610612738,141.0,0.43700000000000006,0.825,0.419,22.0,51.0,1610612746,133.0,0.418,0.8109999999999999,0.314,19.0,55.0,1
83,2020-02-13,21900819,Final,1610612740,1610612760,2019,1610612740,118.0,0.488,0.741,0.4,31.0,46.0,1610612760,123.0,0.5,0.818,0.48100000000000004,28.0,40.0,0
84,2020-02-12,21900807,Final,1610612739,1610612737,2019,1610612739,127.0,0.511,0.84,0.35700000000000004,25.0,55.0,1610612737,105.0,0.429,0.8,0.382,24.0,38.0,1
85,2020-02-12,21900808,Final,1610612753,1610612765,2019,1610612753,116.0,0.45799999999999996,0.889,0.33299999999999996,34.0,46.0,1610612765,112.0,0.435,0.9329999999999999,0.4,28.0,47.0,1
86,2020-02-12,21900809,Final,1610612751,1610612761,2019,1610612751,101.0,0.409,0.8,0.257,27.0,55.0,1610612761,91.0,0.37799999999999995,0.769,0.302,21.0,42.0,1
87,2020-02-12,21900810,Final,1610612754,1610612749,2019,1610612754,118.0,0.523,0.792,0.33299999999999996,28.0,44.0,1610612749,111.0,0.40700000000000003,0.96,0.35100000000000003,18.0,44.0,1
88,2020-02-12,21900811,Final,1610612752,1610612764,2019,1610612752,96.0,0.409,0.7240000000000001,0.13,19.0,52.0,1610612764,114.0,0.47600000000000003,0.727,0.35700000000000004,25.0,40.0,0
89,2020-02-12,21900812,Final,1610612763,1610612757,2019,1610612763,111.0,0.474,0.682,0.261,26.0,57.0,1610612757,104.0,0.371,0.792,0.35100000000000003,21.0,51.0,1
90,2020-02-12,21900813,Final,1610612750,1610612766,2019,1610612750,108.0,0.386,0.8,0.28600000000000003,25.0,48.0,1610612766,115.0,0.467,0.652,0.41200000000000003,22.0,52.0,0
91,2020-02-12,21900814,Final,1610612742,1610612758,2019,1610612742,130.0,0.565,0.81,0.425,34.0,47.0,1610612758,111.0,0.414,0.773,0.308,26.0,40.0,1
92,2020-02-12,21900815,Final,1610612756,1610612744,2019,1610612756,112.0,0.462,0.9329999999999999,0.37799999999999995,25.0,40.0,1610612744,106.0,0.506,0.895,0.355,27.0,38.0,1
93,2020-02-12,21900816,Final,1610612762,1610612748,2019,1610612762,116.0,0.48200000000000004,0.87,0.389,23.0,53.0,1610612748,101.0,0.43200000000000005,0.75,0.33299999999999996,19.0,37.0,1
94,2020-02-12,21900817,Final,1610612743,1610612747,2019,1610612743,116.0,0.5,0.773,0.44,32.0,42.0,1610612747,120.0,0.505,0.519,0.364,29.0,49.0,0
95,2020-02-11,21900802,Final,1610612755,1610612746,2019,1610612755,110.0,0.46299999999999997,0.667,0.29600000000000004,25.0,50.0,1610612746,103.0,0.444,0.6920000000000001,0.452,25.0,42.0,1
96,2020-02-11,21900803,Final,1610612764,1610612741,2019,1610612764,126.0,0.539,0.792,0.344,28.0,44.0,1610612741,114.0,0.478,0.7140000000000001,0.41,25.0,44.0,1
97,2020-02-11,21900804,Final,1610612740,1610612757,2019,1610612740,138.0,0.5329999999999999,0.813,0.41200000000000003,40.0,50.0,1610612757,117.0,0.473,0.7859999999999999,0.24100000000000002,21.0,40.0,1
98,2020-02-11,21900805,Final,1610612760,1610612759,2019,1610612760,106.0,0.45899999999999996,0.81,0.355,19.0,35.0,1610612759,114.0,0.488,0.9259999999999999,0.28,20.0,46.0,0
99,2020-02-11,21900806,Final,1610612745,1610612738,2019,1610612745,116.0,0.429,0.8809999999999999,0.289,17.0,45.0,1610612738,105.0,0.435,0.8,0.344,24.0,48.0,1
100,2020-02-10,21900793,Final,1610612765,1610612766,2019,1610612765,76.0,0.354,0.846,0.2,21.0,52.0,1610612766,87.0,0.375,0.857,0.25,19.0,45.0,0
101,2020-02-10,21900794,Final,1610612754,1610612751,2019,1610612754,105.0,0.489,0.727,0.233,28.0,40.0,1610612751,106.0,0.402,0.75,0.324,20.0,53.0,0
102,2020-02-10,21900795,Final,1610612753,1610612737,2019,1610612753,135.0,0.526,0.773,0.474,33.0,45.0,1610612737,126.0,0.534,0.941,0.43200000000000005,33.0,31.0,1
103,2020-02-10,21900796,Final,1610612761,1610612750,2019,1610612761,137.0,0.573,0.7829999999999999,0.515,29.0,41.0,1610612750,126.0,0.45299999999999996,0.857,0.45,24.0,38.0,1
104,2020-02-10,21900797,Final,1610612749,1610612758,2019,1610612749,123.0,0.44799999999999995,0.826,0.429,26.0,55.0,1610612758,111.0,0.41600000000000004,0.722,0.326,23.0,49.0,1
105,2020-02-10,21900798,Final,1610612742,1610612762,2019,1610612742,119.0,0.47,0.8390000000000001,0.349,24.0,26.0,1610612762,123.0,0.59,0.762,0.429,27.0,45.0,0
106,2020-02-10,21900799,Final,1610612743,1610612759,2019,1610612743,127.0,0.563,0.826,0.514,34.0,37.0,1610612759,120.0,0.48200000000000004,0.88,0.5,33.0,36.0,1
107,2020-02-10,21900800,Final,1610612744,1610612748,2019,1610612744,101.0,0.39,0.882,0.324,23.0,40.0,1610612748,113.0,0.494,0.7140000000000001,0.364,36.0,45.0,0
108,2020-02-10,21900801,Final,1610612747,1610612756,2019,1610612747,125.0,0.516,0.68,0.37799999999999995,28.0,59.0,1610612756,100.0,0.42100000000000004,0.8059999999999999,0.355,26.0,29.0,1
109,2020-02-09,21900786,Final,1610612760,1610612738,2019,1610612760,111.0,0.45299999999999996,0.759,0.40700000000000003,14.0,44.0,1610612738,112.0,0.452,0.741,0.444,19.0,53.0,0
110,2020-02-09,21900787,Final,1610612737,1610612752,2019,1610612737,140.0,0.45399999999999996,0.903,0.35,29.0,50.0,1610612752,135.0,0.473,0.72,0.382,30.0,56.0,1
111,2020-02-09,21900788,Final,1610612755,1610612741,2019,1610612755,118.0,0.5,0.7190000000000001,0.40700000000000003,29.0,44.0,1610612741,111.0,0.489,0.765,0.375,23.0,42.0,1
112,2020-02-09,21900789,Final,1610612764,1610612763,2019,1610612764,99.0,0.35,0.759,0.212,25.0,50.0,1610612763,106.0,0.42200000000000004,0.6,0.156,19.0,62.0,0
113,2020-02-09,21900790,Final,1610612745,1610612762,2019,1610612745,113.0,0.46299999999999997,0.7140000000000001,0.35700000000000004,20.0,36.0,1610612762,114.0,0.488,0.833,0.395,25.0,48.0,0
114,2020-02-09,21900791,Final,1610612739,1610612746,2019,1610612739,92.0,0.368,0.682,0.212,22.0,45.0,1610612746,133.0,0.57,0.75,0.33299999999999996,28.0,52.0,0
115,2020-02-09,21900792,Final,1610612757,1610612748,2019,1610612757,115.0,0.47100000000000003,0.727,0.452,20.0,43.0,1610612748,109.0,0.39799999999999996,0.7859999999999999,0.408,31.0,49.0,1
116,2020-02-08,21900777,Final,1610612753,1610612749,2019,1610612753,95.0,0.37799999999999995,0.7859999999999999,0.25,28.0,46.0,1610612749,111.0,0.452,0.75,0.385,26.0,62.0,0
117,2020-02-08,21900778,Final,1610612766,1610612742,2019,1610612766,100.0,0.43700000000000006,0.722,0.306,15.0,39.0,1610612742,116.0,0.506,1.0,0.486,29.0,46.0,0
118,2020-02-08,21900779,Final,1610612765,1610612752,2019,1610612765,92.0,0.493,0.688,0.44799999999999995,21.0,28.0,1610612752,95.0,0.447,0.647,0.364,24.0,47.0,0
119,2020-02-08,21900780,Final,1610612754,1610612740,2019,1610612754,117.0,0.53,0.741,0.34600000000000003,25.0,37.0,1610612740,124.0,0.46299999999999997,0.84,0.395,27.0,53.0,0
120,2020-02-08,21900781,Final,1610612761,1610612751,2019,1610612761,119.0,0.474,0.7140000000000001,0.4,22.0,48.0,1610612751,118.0,0.446,0.833,0.364,27.0,46.0,1
121,2020-02-08,21900782,Final,1610612750,1610612746,2019,1610612750,142.0,0.547,0.667,0.591,39.0,46.0,1610612746,115.0,0.47700000000000004,0.828,0.34600000000000003,24.0,43.0,1
122,2020-02-08,21900783,Final,1610612744,1610612747,2019,1610612744,120.0,0.517,0.652,0.406,31.0,33.0,1610612747,125.0,0.524,0.735,0.483,29.0,47.0,0
123,2020-02-08,21900784,Final,1610612756,1610612743,2019,1610612756,108.0,0.43700000000000006,1.0,0.281,25.0,41.0,1610612743,117.0,0.5489999999999999,0.762,0.39299999999999996,23.0,40.0,0
124,2020-02-08,21900785,Final,1610612758,1610612759,2019,1610612758,122.0,0.523,0.65,0.5429999999999999,25.0,39.0,1610612759,102.0,0.506,0.722,0.292,23.0,41.0,1
125,2020-02-07,21900769,Final,1610612755,1610612763,2019,1610612755,119.0,0.5329999999999999,0.6,0.56,34.0,50.0,1610612763,107.0,0.409,0.8390000000000001,0.23800000000000002,25.0,40.0,1
126,2020-02-07,21900770,Final,1610612764,1610612742,2019,1610612764,119.0,0.5,0.769,0.5,28.0,39.0,1610612742,118.0,0.462,0.857,0.4,27.0,49.0,1
127,2020-02-07,21900771,Final,1610612738,1610612737,2019,1610612738,112.0,0.43,0.815,0.43200000000000005,23.0,47.0,1610612737,107.0,0.40700000000000003,0.9229999999999999,0.33299999999999996,21.0,46.0,1
128,2020-02-07,21900772,Final,1610612754,1610612761,2019,1610612754,106.0,0.45299999999999996,0.818,0.294,26.0,47.0,1610612761,115.0,0.47700000000000004,0.8240000000000001,0.447,28.0,39.0,0
129,2020-02-07,21900773,Final,1610612760,1610612765,2019,1610612760,108.0,0.513,0.833,0.217,21.0,42.0,1610612765,101.0,0.42700000000000005,0.737,0.289,19.0,37.0,1
130,2020-02-07,21900774,Final,1610612756,1610612745,2019,1610612756,127.0,0.5579999999999999,0.963,0.484,29.0,51.0,1610612745,91.0,0.341,0.846,0.22899999999999998,16.0,29.0,1
